"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V953IHB2","conferencePaper","2011","Anderson, R.F.","Role of university startup companies in technology commercialization","AIChE Annu. Meet. Conf. Proc.","978-081691067-0 (ISBN)","","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84860249770&partnerID=40&md5=4c64fe2c50047f3687f226573a39e327","The traditional university role of performing fundamental research leaves a large gap between the laboratory stage ""proof of principle"" and the generation of economic benefits in the commercial marketplace. Research funding for universities from the federal government tends to focus on basic research. Companies usually prefer to license technology with most of the risk taken out. This risk reduction normally occurs via the development component of the research and development process. Unfortunately, the cost of D is often 10 plus times the cost of R, which puts this effort out of reach of most universities. In addition, the opportunity for publication and contribution to advancing the state of the art science (the usual focus of university research) is limited as the development activity concentrates on such issues as economic tradeoffs, catalyst life, feedstock impurities, manufacturing processes, corrosion and other materials of construction issues, product specifications, and mechanical hardware problems. To bridge this gap, Illinois Institute of Technology has put in place a series of practices to address the problems that stand in the way of the university's ability to pursue commercial success for new technology. Our primary practice is to establish startup companies by the inventing faculty members who continue to guide the technology development process into the commercial marketplace. Additional contributors are undergraduate students working on these more-practical problems, mutually beneficial strategic alliances with existing commercial companies, incubator facilities with their ancillary networking potential, senior executives and alumni acting as friends of the university in mentoring entrepreneurial faculty, the technology transfer function of the university, the university's marketing and communications professionals, and alignment of startup company interests with the university's goals via equity investment in the company. This presentation describes how these practices have also provided benefits to our development partners from industry.","2011","2025-07-25 13:43:13","2025-07-25 13:43:13","","","","","","","","","","","","","","","English","","","Scopus","","","","Journal Abbreviation: AIChE Annu. Meet. Conf. Proc.","","","","Basic research; Catalyst life; Commercial marketplace; Development activity; Economic benefits; Economics; Engineering education; Equity investment; Faculty members; Federal governments; Fundamental research; Hardware problems; Illinois institute of technologies; Impurities; Industry; Manufacturing process; Materials of constructions; Product specifications; Proof of principles; Research; Research and development; Research funding; Risk reductions; Start-up companies; State of the art; Strategic alliance; Students; Technology commercializations; Technology development; Technology transfer; Traditional universities; Undergraduate students; University research; University start-ups","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AIChE Annual Meeting, Conference Proceedings","","","","","","","","","","","","","","",""
"U93KQ67J","journalArticle","2010","Hong, J.; Olander, H.","University-industry knowledge interaction: Case studies from Finland and China","International Journal of Healthcare Technology and Management","","13682156 (ISSN)","10.1504/IJHTM.2010.036051","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-77952892594&doi=10.1504%2fIJHTM.2010.036051&partnerID=40&md5=208e91951ed91fac9983595c34116898","The paper examines the roles of formal governance and informal social networking in University-Industry (U-I) knowledge interaction in the context of high-tech Multinational Corporations (MNCs). The issue is approached by conducting a critical literature review with empirical cases from Finland and China. Previous studies on U-I collaboration focus primarily on one-way technology and knowledge transfer. This study argues that especially in the cross-cultural context of high-tech MNCs, more interactive types of knowledge interaction should be of key concern where there are various challenges of informal governance that include, for example, interpersonal trust, mutual commitment, frequency of communication andinteraction, and awareness of cultural and knowledge-related gaps between collaboration partners. Copyright © 2010 Inderscience Enterprises Ltd.","2010","2025-07-25 13:43:13","2025-07-26 14:43:28","","356-372","","5","11","","Int. J. Healthc. Technol. Manage.","","","","","","","","English","","","Scopus","","","","Publisher: Inderscience Publishers","","","","Technology transfer; applied research; article; awareness; basic research; China; confidentiality; Finland; Formal governance; health care quality; High-tech; human; human relation; Informal social networking; information retrieval; intelligence; interpersonal communication; knowledge discovery; Knowledge interaction; knowledge management; learning; medical technology; Multinational corporations; professional practice; social network; theory-practice relationship; trust; university; University-industry collaboration; Knowledge management; Knowledge transfer; Knowledge; Collaboration; Studies; Business education relationship; Social networks; 5200:Communications & information management; 8306:Schools and educational services; 9130:Experiment/theoretical treatment; 9175:Western Europe; 9510:Multinational corporations; 9179:Asia & the Pacific; Medical Sciences--Computer Applications","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QMKJ6PEC","journalArticle","2013","Erkarslan, O.","A systematic review of the relations between industrial design education and industry in Turkey through SWOT analysis","Design Journal","","14606925 (ISSN)","10.2752/175630613X13512595146952","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84873972597&doi=10.2752%2f175630613X13512595146952&partnerID=40&md5=8c401cecea8c172492dd6691a6e1a8ce","This study aims to evaluate the strong and weak aspects of industrial product design (IPD) and industrial design (ID) education in Turkey in the context of their relations with Turkish industry. This study was conducted in four major phases. The study started with a SWOT analysis of the economy in Turkey and continued with an analysis of ID education using data on undergraduate and graduate education programmes, the number of faculty members, the number of graduates and the number of registered students. After identifying the profile of the industrial designer from the perspective of industry through online job advertisements, the correlation between the expectations of industry and the philosophy of ID and IPD education programmes in Turkey was analysed. The findings demonstrate that Turkey is behind other countries in terms of intellectual property rights, new products development and investment in new fields of business. Moreover, the share of resources allocated for research and development is insufficient. The education model of IPD and ID graduate programmes is inconsistent with the industry expectations. The expectations of the industry and the educational emphases of university programmes are extremely incompatible. The findings of this study will help to develop cooperation between industry and education programmes and will thus lead to better employment opportunities for graduates of IPD and ID programmes. © BLOOMSBURY PUBLISHING PLC 2013 PRINTED IN THE UK.","2013","2025-07-25 13:43:13","2025-07-25 13:43:13","","74-102","","1","16","","Des. J.","","","","","","","","English","","","Scopus","","","","","","","","University-industry collaboration; Industrial design education; Industrial product design; Turkish industry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LGYKXPHZ","journalArticle","2015","Ankrah, S.; AL-Tabbaa, O.","Universities-industry collaboration: A systematic review","Scandinavian Journal of Management","","09565221 (ISSN)","10.1016/j.scaman.2015.02.003","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84938744100&doi=10.1016%2fj.scaman.2015.02.003&partnerID=40&md5=1a92bb9c09ec54a84348ea5172e24fea","The collaboration between universities and the industry is increasingly perceived as a vehicle to enhance innovation through knowledge exchange. This is evident by a significant increase in studies that investigate the topic from different perspectives. However, this body of knowledge is still described as fragmented and lacks efficient comprehensive view. To address this gap, we employed a systematic procedure to review the literature on universities-industry collaboration (UIC). The review resulted in identifying five key aspects, which underpinned the theory of UIC. We integrate these key aspects into an overarching process framework, which together with the review, provide a substantial contribution by creating an integrated analysis of the state of literature concerning this phenomenon. Several research avenues are reported as distilled from the analysis. © 2015 Elsevier Ltd.","2015","2025-07-25 13:43:13","2025-07-26 14:47:38","","387-408","","3","31","","Scand. J. Manage.","","","","","","","","English","","","Scopus","","","","Publisher: Elsevier Ltd","","","","Inter-organizational relationships; Knowledge and technology exchange; Systematic review; Universities-industry collaboration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PUG8BNEH","journalArticle","2012","Arroyo, P.","Management accounting change and sustainability: An institutional approach","Journal of Accounting and Organizational Change","","18325912 (ISSN)","10.1108/18325911211258317","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84866352423&doi=10.1108%2f18325911211258317&partnerID=40&md5=17503774ac786344b0d669c280923ac3","Purpose - The purpose of this paper is to propose an institutional entrepreneurship approach to examining management accounting change triggered by social and environmental concerns. Design/methodology/approach - The study begins with a literature review concerning the role that old institutional economics and new institutional sociology have played in the study of management accounting change, underlining strengths and weaknesses. To deal with the main weaknesses, the institutional entrepreneurship approach is presented and utilized as the basis for the development of a conceptual framework, which is contextualized to the examination of management accounting change triggered by sustainability issues. Findings - Management accounting change literature has not paid enough attention to the social constructivist roots of institutional theory. Through the application of a conceptual framework inspired by institutional change models and institutional entrepreneurship literature, this paper proposes another approach to examine how new management accounting practices are socially constructed during the course of organizational change, particularly in response to sustainability concerns. Research limitations/implications - This new framework has not yet demonstrated its explanatory power in a particular field. Originality/value - The paper examines management accounting change as a social construction process led by institutional entrepreneurs who aim to mobilize resources and negotiate the definition and implementation of sustainability strategies and new management accounting practices, which will take environmental and social issues into consideration, in order to reach an agreement on the pre-institutionalization, diffusion and institutionalization of sustainable practices. © Emerald Group Publishing Limited.","2012","2025-07-25 13:43:13","2025-07-26 14:46:52","","286-309","","3","8","","J. Account. Organ. Change","","","","","","","","English","","","Scopus","","","","","","","https://media.proquest.com/media/hms/OBJ/hLcbU?_a=ChgyMDI1MDcyNTEzNDY0NTU1ODo3MTM2OTcSBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0NyoFMjg4NzMyCjExMDAyNDEyOTI6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAxMi8wNy8wMXIKMjAxMi8wOS8zMHoAggEqUC0xMDAwMDAxLTE4NTI5MC1DVVNUT01FUi0xMDAwMDAwOC00ODkzMDE1kgEGT25saW5lygFvTW96aWxsYS81LjAgKFdpbmRvd3MgTlQgMTAuMDsgV2luNjQ7IHg2NCkgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEzOC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAgdGZWF0dXJl0gIBWfICAPoCAU6CAwNXZWKKAxxDSUQ6MjAyNTA3MjUxMzQ2NDU1NTg6NDExMDk1&_s=sTNfiTpHOITVUkhsvzttyA9CnZU%3D","Research; Accounting; Entrepreneurialism; Institutional entrepreneurship; Institutional theory; Management accounting change; Organizational change; Sustainability; Theorization; Literature reviews; Entrepreneurship; Management accounting; Entrepreneurs; Sociology; Studies; Accounting changes; Accounting procedures; Accounting systems; Accounting theory; Business And Economics--Accounting; Capital budgeting; Environmental accounting; Institutionalization; Social constructivism","Institutional Entrepreneurship; Institutional Theory; Management Accounting Change; Organizational Change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXEBTMZP","journalArticle","2012","Chen, B.; Xing, Y.","A deep analysis on innovation index of China universities in 2012","Wuhan Daxue Xuebao (Xinxi Kexue Ban)/Geomatics and Information Science of Wuhan University","","16718860 (ISSN)","","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84871071941&partnerID=40&md5=abe6acdacb0185d87dc55f33cb71c975","Based on the ""Innovation Index of China Univ. in 2012"" issued by RCCSE, this paper uses its indicator data to do a deep analysis on the university innovation capability. It firstly analyzes university types and province distribution. Then it applies multiple linear regression model to investigate the relationships between ""Overall Rank"" and ""Input Rank"" ""Output Rank"" and ""Benifit Rank"". Also, it does some analysis on ordinary universities entering ""Top 100 Innovation Index of China Univ. in 2012"". Finally, some conclusions are given.","2012","2025-07-25 13:43:13","2025-07-25 13:43:13","","212-216","","SUPPL.2","37","","Wuhan Daxue Xuebao Xinxi Kexue Ban","","","","","","","","English","","","Scopus","","","","","","","","China; higher education; index method; Indicators; Indicators (instruments); innovation; Innovation; Innovation capability; Innovation index; Linear regression; literature review; model test; Multiple linear regression models; multiple regression; ranking; Regression analysis; Regression Analysis; Scientific evaluation; university sector","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FSSEKB6","journalArticle","2015","de Coninck, H.; Puig, D.","Assessing climate change mitigation technology interventions by international institutions","Climatic Change","","01650009 (ISSN)","10.1007/s10584-015-1344-z","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84937515750&doi=10.1007%2fs10584-015-1344-z&partnerID=40&md5=27774857578dde6d61af209ba58a5d7b","Accelerating the international use of climate mitigation technologies is key if efforts to curb climate change are to succeed, especially in developing countries, where weak domestic technological innovation systems constrain the uptake of climate change mitigation technologies. Several intergovernmental agencies have set up specific programmes to support the diffusion of climate mitigation technologies. Using a simplified technological innovation system-based framework, this paper aims to systematically review these programmes, with the dual aim of assessing their collective success in promoting technological innovation, and identifying opportunities for the newly formed UNFCCC Technology Mechanism. We conclude that, while all programmes reviewed have promoted technology transfer, they have given limited attention to innovation capabilities with users, government and universities. Functions that could be further developed include knowledge development, legitimation and market formation. These could be focal areas for the UNFCCC Technology Mechanism. We recommend that, in future programmes, part of the funding is dedicated to programmes doing research and development as well as capability development. © 2015, The Author(s).","2015","2025-07-25 13:43:13","2025-07-25 13:43:13","","417-433","","3","131","","Clim. Change","","","","","","","","English","","","Scopus","","","","Publisher: Kluwer Academic Publishers","","","","Research and development; Technology transfer; Innovation; Innovation capability; literature review; acceleration; assessment method; Capability development; climate change; Climate change; Climate change mitigation; Climate mitigations; Developing countries; developing world; Intergovernmental Panel on Climate Change; Knowledge development; planning method; research and development; state role; technological change; Technological innovation; Technological innovation systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMVVJ39A","journalArticle","2014","Shokri-Ghasabeh, M.; Chileshe, N.","Knowledge management: Barriers to capturing lessons learned from Australian construction contractors perspective","Construction Innovation","","14770857 (ISSN)","10.1108/CI-06-2013-0026","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-84891089185&doi=10.1108%2fCI-06-2013-0026&partnerID=40&md5=bf82e93d01edeeeb9a9de595566306ac","Purpose - A research study has been undertaken at the University of South Australia to introduce application of lessons learned process in construction contractors' bidding process in the context of knowledge management. The study aims to identify barriers to effectively capture lessons learned in Australian construction industry and how knowledge management can benefit from lessons learned application. Design/methodology/approach - The research study has been undertaken through conducting a ""methodological triangulation"" and ""interdisciplinary triangulation"". This involved an extensive literature review of knowledge management, organisation learning, lessons learned and associated processes and administration of a questionnaire to a sample of construction contractors operating in Australia to elicit opinions on the main barriers to capturing lessons learned, practices such as existence and retention of documentation procedures. A total of 81 useable responses were received from 450 organisations. Response data were subjected to descriptive and inferential statistics with correlation analysis to examine the strength of relationship among the barriers. Findings - The top-3 barriers to the effective capturing of lessons learned were ""lack of employee time"", ""lack of resources"" and ""lack of clear guidelines"", whereas, ""lack of management support"" was the least ranked barrier. The study established that despite the majority of the ACCs having formal procedures for recording the tenders submitted and their outcomes, only a minority actually retained the lessons learned documentation for each project. The larger contractors were found to be more aware of the importance of lessons learned documentation. A comparative analysis with previous studies also found a disparity in the ranking of the barriers. Research limitations/implications - The majority of the participants were small construction contractors in Australia. The reason is that the researchers were not aware of the contractors' size prior to inviting them for participation in the research study. Second the findings may not generalize to other industries or to organisations operating in other countries. Originality/value - The findings of this survey help ACCs to understand the importance of lessons learned documentation as part of lessons learned implementation and identify the barriers to effectively document their lessons learned. The study provides insights on the barriers and proposes advocated solutions in form of drivers and enablers (critical success factors) of organisational learning capturing among the Australian construction contractors. By reviewing the current literature, ""post-project reviews"" and ""lessons learned"" as important elements of organisation learning knowledge transfer, are addressed. Finally, contribution of this study to knowledge and practice has been discussed in this paper. Copyright © 2014 Emerald Group Publishing Limited. All rights reserved.","2014","2025-07-25 13:43:13","2025-07-26 14:55:49","","108-134","","1","14","","Constr. Innov.","","","","","","","","English","","","Scopus","","","","","","","https://media.proquest.com/media/hms/PFT/1/sHPc6?_a=ChgyMDI1MDcyNTE0MTYyMDQ2MTozMzk1MTISBzEyODMyODkaCk9ORV9TRUFSQ0giDzExMS4xMjUuMjA4LjI0NyoFMzg0NTMyCjIwODM3MzY3NTQ6DURvY3VtZW50SW1hZ2VCATBSBk9ubGluZVoCRlRiA1BGVGoKMjAxNC8wMS8wMXIKMjAxNC8wMy8zMXoAggEqUC0xMDAwMDAxLTE4NTI5MC1DVVNUT01FUi0xMDAwMDAwOC00ODkzMDE1kgEGT25saW5lygFvTW96aWxsYS81LjAgKFdpbmRvd3MgTlQgMTAuMDsgV2luNjQ7IHg2NCkgQXBwbGVXZWJLaXQvNTM3LjM2IChLSFRNTCwgbGlrZSBHZWNrbykgQ2hyb21lLzEzOC4wLjAuMCBTYWZhcmkvNTM3LjM20gESU2Nob2xhcmx5IEpvdXJuYWxzmgIHUHJlUGFpZKoCK09TOkVNUy1NZWRpYUxpbmtzU2VydmljZS1nZXRNZWRpYVVybEZvckl0ZW3KAg9BcnRpY2xlfEZlYXR1cmXSAgFZ8gIA%2BgIBToIDA1dlYooDHENJRDoyMDI1MDcyNTEzNDY0NTU1ODo0MTEwOTU%3D&_s=wq4RLdL%2FMhzecFS%2FWBjShYBlZIM%3D","Australia; Barriers; Bidding decision; Construction management; Knowledge management; Lessons learned; Knowledge transfer; Literature reviews; Learning; Organizational learning; Knowledge; Resource management; Project management; Management; Barrier; Contractors; Construction industry; Researchers; Colleges & universities; Building And Construction; Social; Research methodology; Economic; Studies; Explicit knowledge; Correlation analysis; Documentation; Triangulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PU78WZAJ","journalArticle","2011","McDonald, P.R.; Roy, A.; Chaguturu, R.","The University of Kansas High-Throughput Screening Laboratory. Part I: Meeting drug-discovery needs in the heartland of America with entrepreneurial flair","Future Medicinal Chemistry","","17568927 (ISSN)","10.4155/fmc.11.36","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-79958731803&doi=10.4155%2ffmc.11.36&partnerID=40&md5=84e017658fc3cac654e45334f23c7aec","The University of Kansas High-Throughput Screening (KU HTS) core is a state-of-the-art drug-discovery facility with an entrepreneurial open-service policy, which provides centralized resources supporting public- and private-sector research initiatives. The KU HTS core applies pharmaceutical industry project-management principles in an academic setting by bringing together multidisciplinary teams to fill critical scientific and technology gaps, using an experienced team of industry-trained researchers and project managers. The KU HTS proactively engages in supporting grant applications for extramural funding, intellectual-property management and technology transfer. The KU HTS staff further provides educational opportunities for the KU faculty and students to learn cutting-edge technologies in drug-discovery platforms through seminars, workshops, internships and course teaching. This is the first instalment of a two-part contribution from the KU HTS laboratory. © 2011 Future Science Ltd.","2011","2025-07-25 13:43:13","2025-07-25 13:43:13","","789-795","","7","3","","Future. Med. Chem.","","","","","","","","English","","","Scopus","","","","","","","","article; assay; biochemistry; cancer cell; chemistry; commercial phenomena; consultation; cost; cytotoxicity; data analysis; dose response; Drug Discovery; Drug Evaluation, Preclinical; drug industry; drug research; education; funding; heat shock protein 90 inhibitor; high throughput screening; High-Throughput Screening Assays; IC 50; Kansas; Laboratories; laboratory; management; novobiocin; patent; Pharmaceutical Preparations; priority journal; technology; Universities; Western Hemisphere; workflow; workshop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4TIL4FU","journalArticle","2011","Abramo, G.; D'Angelo, C.A.; Di Costa, F.; Solazzi, M.","The role of information asymmetry in the market for university-industry research collaboration","Journal of Technology Transfer","","08929912 (ISSN)","10.1007/s10961-009-9131-5","https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-78751650376&doi=10.1007%2fs10961-009-9131-5&partnerID=40&md5=f8385ce1601b78b6394ec7faab4e2081","This study concerns the market for research collaboration between industry and universities. It presents an analysis of the population of all Italian university-industry collaborations that resulted in at least one international scientific publication between 2001 and 2003. Using spatial and bibliometric analysis relating to scientific output of university researchers, the study shows the importance of geographic proximity in companies' choices of university partner. The analysis also reveals inefficiency in the market: in a large proportion of cases private companies could have chosen more qualified research partners in universities located closer to the place of business. © 2009 Springer Science+Business Media, LLC.","2011","2025-07-25 13:43:13","2025-07-25 13:43:13","","84-100","","1","36","","J. Technol. Transf.","","","","","","","","English","","","Scopus","","","","Publisher: Kluwer Academic Publishers","","","","Technology transfer; University-industry collaboration; Bibliometrics; Co-authorship; Co-authorships; Commerce; Geographical proximity; Information asymmetry; Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
