D,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date
TRUE,2018,"Miller, K.; Alexander, A.; Cunningham, J.A.; Albats, E.",Entrepreneurial academics and academic entrepreneurs: A systematic literature review,International Journal of Technology Management,,02675730 (ISSN),10.1504/IJTM.2018.091710,https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85047357624&doi=10.1504%2fIJTM.2018.091710&partnerID=40&md5=4ce305ef1fdb8ea23aa9ad38f0a275da,"Universities are now viewed as key economic actors within regions and are central actors in shaping and influencing entrepreneurial ecosystems. This has meant that universities now have to become more entrepreneurial in offerings, outlook and culture. However, a core actor in this process who is often overlooked is the academic. The ability of an academic to effectively transfer knowledge to industry is key to universities achieving their entrepreneurial mission and ambition. This paper explores the changing roles of academics to identify key distinctions between entrepreneurial academics and academic entrepreneurs. This is done through a systematic literature review spanning 25 years drawing on selected high impact journals in innovation, entrepreneurship and higher education studies. We categorise the types of activity that academics typically engage in and identify the motivations and challenges they face. From this, we identify two types of academics, the entrepreneurial academic and academic entrepreneur. We posit that there is a need for both types of academics to contribute to the success of the entrepreneurial university and conclude by outlining some avenues for future research. Copyright © 2018 Inderscience Enterprises Ltd.",2018
TRUE,2022,"Coşkun, H.E.; Popescu, C.; Şahin Samaraz, D.; Tabak, A.; Akkaya, B.",Entrepreneurial University Concept Review from the Perspective of Academicians: A Mixed Method Research Analysis,Sustainability (Switzerland),,20711050 (ISSN),10.3390/su141610110,https://www-scopus-com-cimr.knimbus.com/inward/record.uri?eid=2-s2.0-85137743827&doi=10.3390%2fsu141610110&partnerID=40&md5=2a361c3d70d9def829c73f9571131ad9,"Understanding the role of the factors that contribute to the development and growth of entrepreneurial universities is important for both the university itself and the global economy as a whole. Therefore, this study aimed to gain a deep understanding of the entrepreneurial university. The study was designed with a mixed-method approach in which quantitative and qualitative methods were used together. In the quantitative part of the mixed-method research, a systematic literature review of the entrepreneurial university concept was done and based on the results of the literature search obtained by quantitative methods, general concepts and categories and their relations with the contexts were revealed. In the qualitative part of the mixed-method research, in order to explain the entrepreneurial university understanding, semi-structured interviews were conducted with academicians in universities. According to the findings, it was found that conceptualization was very important to understand the entrepreneurial university. The university was considered as an institution that serves students and companies via some channels, such as research reports, an academic publication, or a patent received at the end of a project. As the entrepreneurial university paradigm is being studied by various institutions in the world, this study contributes to the literature both as a theoretical study and as a study that reveal the concepts of the entrepreneurial university. By providing a conceptual framework, the research will contribute to the literature as a theoretical study by aiming to explain the service systems (universities, government, firms) based on the exchange of skills and the creation of common value in the knowledge-based society on the entrepreneurial university paradigm, which is extremely popular in the world. Fındings from the systematic literature review and interviews with academicians were analysed comparatively, and a conceptual framework that evaluates the concepts and variables of the entrepreneurial university with a holistic view is presented. © 2022 by the authors.",2022
TRUE,2021,"Blaese, Richard; Noemi, Schneider; Brigitte, Liebig","Should I Stay, or Should I Go? Job satisfaction as a moderating factor between outcome expectations and entrepreneurial intention among academics",International Entrepreneurship and Management Journal,,,10.1007/s11365-021-00744-8,https://app.dimensions.ai/details/publication/pub.1139030197,"Both psychological and entrepreneurship research have highlighted the pivotal role of job satisfaction in the process of entrepreneurial career decisions. In support of this, mounting evidence point to inter-relationships between entrepreneurial intention, job satisfaction, and organizational commitment. Prior research operationalized entrepreneurial careers as an escape from poor work environments; thus, there is a lack of understanding regarding how job-satisfaction can trigger entrepreneurship within and related to the environment of universities. This study, draws on Social Cognitive Career Theory and the concept of entrepreneurial intention, to address whether the role of job satisfaction is a moderating factor between outcome expectations and entrepreneurial intention. Furthermore, we examine to what extent (I) entrepreneurial intention and (II) spin-off intention are determined by certain outcome expectations and perceived behavioral control. To address these questions this study examined academic researchers in specialized and non-technical fields and builds on a survey of 593 academic researchers at Swiss Universities of Applied Science. The results showed that outcome expectations are a significant predictor for entrepreneurial intentions, in general, and spin-off intentions, in particular. A multi-group analysis corroborated that job satisfaction operates as a motivational factor in entrepreneurial transition and interactions with entrepreneurial outcome expectations. In conclusion, the concept of job satisfaction and Social Cognitive Career Theory were powerful constructs to better the understand the process of entrepreneurial career decisions by academic researchers.",2021
TRUE,2022,"Halilem, Norrin; De Silva, Muthu; Amara, Nabil",Fairly assessing unfairness: An exploration of gender disparities in informal entrepreneurship amongst academics in business schools,Technological Forecasting and Social Change,,,10.1016/j.techfore.2021.121295,https://app.dimensions.ai/details/publication/pub.1142139629,"Assessing gender disparities in science commercialisation has been in the centre of the unresolved debates on the inadequacies of the methods used to compare female and male academics. Drawing from the literature on non–IP-based academic entrepreneurship and gender disparities in science, this study used the “pair-matched” technique to isolate 406 female and male academics in business schools (203 of each gender from a sample of 729 academics) who share common characteristics regarding academic position, subdisciplinary affiliation, and experience. The study confirms that a comparison of female and noncomparable male academics could lead to an unfair judgement of female academics’ performance. However, the results show that even compared to comparable men, women are less involved in remunerated consultations, generate a smaller proportion of their revenue from consultations and are less engaged in the creation of consultancy companies. In addition, the study allows us to quantify a leaky pipeline of both genders involved in informal academic entrepreneurship and to identify four paths, from progressive to nonprogressive. Most female academics follow a progressive entrepreneurial path but often struggle to move from nonremunerated to remunerated entrepreneurial engagements. The study concludes with implications for university administrators on knowledge transfer and gender inequality.",2022
TRUE,2022,"Abidi, Oualid; Nimer, Khalil; Bani-Mustafa, Ahmed; Toglaw, Sam",Relationship between faculty characteristics and their entrepreneurial orientation in higher education institutions in Kuwait,Journal of Innovation and Entrepreneurship,,,10.1186/s13731-022-00206-7,https://app.dimensions.ai/details/publication/pub.1145282802,"Considering intrapreneurship theory, this study aims to examine the extent to which the entrepreneurial orientation of faculty employed at Kuwaiti higher education institutions differ across their individual-level attributes. Faculty entrepreneurial orientation will be assessed at three levels, i.e., innovativeness, risk-taking, and proactivity. For this purpose, we surveyed a sample of 291 faculty from Kuwaiti colleges and universities. The core constructs were operationalized using scales validated in previous studies. The hypothesized relationships were tested using the structural equation modeling method. Our findings indicate that while female faculty are more proactive than men, males are innovative and risk-takers to some extent. Moreover, Ph.D. holders are more proactive and innovative than Master’s degree holders. The relationship between specialization and both innovativeness and risk-taking is significant only for business, but not for engineering. Teaching experience is more positively correlated with faculty proactivity. The number of scientific publications is negatively associated with faculty risk-taking propensity. Additionally, faculty who cumulated significant industry experience are proactive in identifying long-term opportunities and threats for their institutions. Having earned professional certifications is positively related to some aspects of innovativeness and proactivity. Finally, faculty who received their latest degree from a non-accredited institution are more active in realizing ideas at work.",2022
TRUE,2022,"Liao, Kai; Liu, Ziyang; Li, Bing",The Effect of Psychological Capital and Role Conflict on the Academic Entrepreneurial Intents of Chinese Teachers in Higher Education: A Study Based on the Theory of Planned Behavior,Frontiers in Psychology,,,10.3389/fpsyg.2022.793408,https://app.dimensions.ai/details/publication/pub.1146338195,"Because academic entrepreneurship is an innovation driving force in China's economy, teachers are key knowledge creators in the process of entrepreneurship. Therefore, it is particularly important to give attention to the individual psychological mechanism factors at play in the process of teachers in higher education academic entrepreneurship. The purpose of this study is to identify individual psychological capital and role conflict issues among university teachers in China. To accomplish this aim, we investigated the emergence of positive academic entrepreneurial intents, continued through the process of academic entrepreneurship, and clarified the impact of psychological capital and role conflict on entrepreneurial intent. Based on the theory of planned behavior, we constructed a research model from the perspective of entrepreneurial intent prior to entrepreneurial action. We established a cohort of teachers in 17 higher education institutions (<i>N</i> = 525) in southern China, with psychological capital and role conflict as the prior independent variables and the teachers' academic entrepreneurial intent as the dependent variable. Using quantitative analysis, SPSS 22.0, and AMOS 23.0, we conducted reliability and validity tests, correlation analysis, and structural equation models on the collected data. We reached the following conclusions: (1) psychological capital has a positive effect on attitudes toward academic entrepreneurship; (2) psychological capital has a positive effect on perceived behavioral control; (3) role conflict has a negative effect on perceived behavioral control; (4) academic entrepreneurial attitudes have a positive effect on academic entrepreneurial intent; (5) perceived behavioral control has a positive effect on academic entrepreneurial intent; (6) subjective norms have a positive effect on academic entrepreneurial intent. We also provide some suggestions about academic entrepreneurship for university administrators.",2022
TRUE,2022,"Burkholder, Paul; Hulsink, Willem","Academic intrapreneurship for health care innovation: the importance of influence, perception, and time management in knowledge commercialization at a University’s Medical Centre",The Journal of Technology Transfer,,,10.1007/s10961-022-09974-6,https://app.dimensions.ai/details/publication/pub.1152458963,"Academic intrapreneurship refers to the individual behaviours of scientists who depart from their customary research and education initiatives and become involved in knowledge commercialization without leaving academia. This paper aims to examine how academic intrapreneurs perceive and respond to organizational factors set by departments, faculties, schools, and university boards that influence knowledge transfer, the initiation of an internal project, and the collaboration with societal stakeholders. We employ an embedded case study approach to examine the role of perceived control and influence within the internal work environment of a knowledge commercialization process within the DiabetesStation, a healthcare innovation at the Erasmus Medical Center (MC), a university hospital in Rotterdam, the Netherlands. We used a semi-structured interview strategy and analyzed 12 individual respondent interviews. The results show that the relationship between academics and the Knowledge Commercialization Process within the DS at Erasmus MC was influenced by six factors (i.e., external collaboration, product quality, time availability, external financing, internal financing, and rewards and reinforcement). Our study highlights that the perception of- the academic intrapreneur’s control and influence seems to impact effectively transferring academic knowledge from academic institutions to the private sector for economic and societal benefit. The research results highlight three controllable areas of an academic institution’s internal work environment that can enhance the relationship between knowledge valorization and academic intrapreneurship—time availability, rewards and reinforcement, and internal financing.",2022
TRUE,2023,"Yu, Zhaoyuan; Lu, Kangyin",What motivates academics toward entrepreneurship? Examining the formation of academic entrepreneurial intention from the push-pull perspective,Frontiers in Psychology,,,10.3389/fpsyg.2023.1073866,https://app.dimensions.ai/details/publication/pub.1155777368,"Introduction: Although academic entrepreneurship has received considerable attention over the last decades, little attention has been devoted to discussing the formation process of academic entrepreneurial intention underlying the push-pull perspective. This study attempts to explore the mechanism of how academic entrepreneurial intention is shaped, with job-related negative elements as push factors, and entrepreneurship-related positive attractors as pull factors. Methods: In this paper, regression analysis and Bootstrap were conducted using SPSS 26.0 and MPLUS 7.0, whose applicability has been widely demonstrated in research. Results: Findings were derived from 1042 academics from Chinese universities. Results showed that both push and pull factors do contribute to boosting academic entrepreneurial intention. Particularly, the entrepreneurship-related pull factors including entrepreneurial opportunity identification and expected entrepreneurial benefits play a dominant role in trigging academic intention to engaging entrepreneurship. Moreover, our findings further confirmed the moderating role of social network in the process of academics pushed by negative job-related factors to emerge entrepreneurial intention. Discussion: This study extends the research perspective on the factors influencing academic entrepreneurial intention by examines the impact of push and pull factors on academic entrepreneurial intention simultaneously. This deepens the formation mechanism of academic entrepreneurial intention. Besides, the current study identifies a new look at the role that social network plays in academic entrepreneurship.",2023
TRUE,2024,"Kanısoy, Kemal; Şeşen, Harun; Ekemen, Mehmet Ali",Academic Intrapreneurs: Exploring the Antecedents of Academic Intrapreneurial Intention,Sustainability,,,10.3390/su16104019,https://app.dimensions.ai/details/publication/pub.1171660915,"It is widely accepted that intrapreneurial behavior is imperative for any type of organization to maintain sustainability in terms of growth and performance. In this context, it is also important to investigate the factors that play a role in promoting intrapreneurship within dynamic industries, such as the higher education industry. For this purpose, this study aimed to explore the antecedents of intrapreneurial intention in academic staff to provide theoretical as well as practical contributions for universities. We used a survey method to collect data with a sample consisting of 236 academic staff from universities in Northern Cyprus, and tested hypotheses through three different structural models by using structural equation modeling (SEM). Following a deductive approach to establish constructs in the models, we treated academic intrapreneurial intention as the dependent variable, and self-leadership, self-efficacy, and psychological capital as the independent variables. In addition, attitudes toward intrapreneurship, subjective norms, and perceived behavioral control were individually tested as mediating variables. The results of this study indicate that self-leadership, self-efficacy, and psychological capital have direct and indirect effects on academic intrapreneurial intention, and attitudes toward intrapreneurship, subjective norms, and perceived behavioral control play a mediating role between these antecedents and academic intrapreneurial intention.",2024
TRUE,2024,"Gregán, Orsolya Gabriella; Kovács, Sándor; Gabnai, Zoltán",The Role of Intrapreneurs in Driving Entrepreneurial Transformation in Universities: A Bibliographic Analysis Between 1990 and 2024,Administrative Sciences,,,10.3390/admsci14120327,https://app.dimensions.ai/details/publication/pub.1183079863,"Prior research has demonstrated the value of an entrepreneurial mindset in business. The so-called third mission is also becoming an increasingly important aspect of university operations. This involves leveraging knowledge generated at the university level to create close links with society and the economy. The role of intrapreneurs has been examined in the corporate, for-profit sector. However, these agents of change also play a significant role in the advancement of entrepreneurial universities. The present research investigates the role of intrapreneurs in entrepreneurial universities through a bibliographic analysis using RStudio biblioshiny on the Scopus and Web of Science databases. It is evident that the literature on this subject has gained interest in recent years, yet the number of documents remains limited, with a small number of authors publishing them. The development of keywords is also notable, including the emergence of sustainability, which is linked to intrapreneurs and the entrepreneurial universities. Although this study has its limitations, it can show how and where authors should publish, what the basic and the emerging topics are, what the most important keywords are and how these are connected and how countries cooperate in searching for solutions in this globally recognized research area.",2024
